id,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,label,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,now_timegap
106,142,111,60.5,05_23_03:00:37,0,-411.09714,103.598595,-2.248266,27.188631,8.004463,7.6309295,4.556611,7.0203648,-5.385392,8.099806,4.319571,2.0858133,-5.1686807,4.7
107,145,113,41.2,05_23_03:00:37,0,-417.24356,106.94771,7.7477293,28.425835,14.469938,9.997601,4.468858,-0.045069456,-8.620361,4.508789,2.9114707,1.6015036,-10.444178,4.8
108,148,116,69.7,05_23_03:00:37,0,-413.1709,98.28937,11.193175,21.95946,8.249568,11.572986,1.155514,8.922738,-6.003245,11.478107,4.7055607,0.6789767,-12.6049385,4.9
109,151,118,51.3,05_23_03:00:37,0,-383.60947,90.03522,2.5954008,21.27406,12.524939,4.1491485,7.7279406,-5.2030296,-1.964567,7.745701,-3.8686018,-0.14661287,-4.733119,5
110,154,121,67.6,05_23_03:00:37,0,-398.58298,106.33083,9.793495,26.085781,11.375858,15.045963,8.054383,6.3223457,-2.3294506,2.7746909,1.8486809,5.560652,-7.1367464,5.1
111,157,124,84.5,05_23_03:00:37,0,-385.65317,92.70601,-3.383031,25.382263,27.692059,11.313765,-4.3215227,2.5128343,3.5787435,5.348072,-1.8082759,5.9477906,-3.24586,5.2
112,160,126,71.7,05_23_03:00:37,0,-286.70975,73.59942,8.596573,14.279547,13.926002,12.581404,-10.321836,10.565786,-5.1050477,3.4970658,-4.9516516,-4.733344,-6.9680743,5.3
113,163,129,74.1,05_23_03:00:37,0,-373.6967,90.278366,8.23191,25.306917,10.78657,5.025975,1.2829138,1.1990845,-3.9715967,6.089114,-3.8983102,0.82656527,-5.388568,5.4
114,166,131,80,05_23_03:00:37,0,-426.4636,114.4409,16.152792,36.07219,19.554651,6.8878903,-3.0421784,-3.6604922,-6.616814,2.871675,-1.9642314,4.6294875,-7.1392975,5.5
115,169,133,220.1,05_23_03:00:37,1,-315.5828,87.63751,-6.3604336,23.973915,2.440289,6.2416525,4.8269377,10.422018,3.9665916,8.026043,5.4633007,6.1272573,-5.7423134,5.6
116,172,136,136,05_23_03:00:37,1,-236.6247,56.658447,12.423439,8.0974655,7.528532,2.8866467,-13.28513,-0.7114771,-17.861057,2.9622848,-0.022745013,5.6301985,1.1546717,5.7
117,175,138,169.5,05_23_03:00:37,1,-315.66528,72.15953,10.829859,11.944983,9.504812,5.480736,-9.871017,7.7678833,2.4171143,1.9456396,-5.9106865,4.0219245,-9.134529,5.8
118,178,141,182.4,05_23_03:00:37,1,-342.10657,78.0878,-10.148924,25.708525,3.158454,5.2849746,3.2027879,-4.9791527,-7.2982745,-3.3309484,-2.968551,8.945395,-2.4450722,5.9
119,181,143,171,05_23_03:00:37,1,-264.10507,118.00612,-31.407291,-1.3942297,2.8996654,3.2486634,7.8290854,12.619301,-3.0978045,-2.767991,-7.608752,-3.4132419,5.044545,6
120,4,3,40.3,05_23_03:01:09,0,-371.83078,79.84537,-2.8599238,20.853657,-9.54902,-8.091015,-5.73063,-11.194288,-17.23491,-1.9482971,-1.4452993,-11.180428,-2.1608567,0.1
121,7,6,17,05_23_03:01:09,0,-336.5677,66.632706,-6.3532486,24.847456,-0.044662297,-0.5683355,6.9735155,-13.730103,-5.341375,-3.5198452,-5.5932255,-11.94075,-8.857813,0.2
122,9,8,47.1,05_23_03:01:09,0,-381.72873,73.928314,12.131786,30.58348,11.0396,10.131533,5.3935366,5.8265305,-8.517864,6.368576,-3.7973745,-5.4335318,-9.715578,0.3
123,13,11,38.7,05_23_03:01:09,0,-419.0117,81.57124,3.351956,17.24393,-2.391366,-2.170081,-3.29576,-1.8782878,-8.943781,4.1146708,-4.8172374,-2.531146,-8.915243,0.4
124,16,13,18.5,05_23_03:01:09,0,-368.74548,88.35661,-7.838801,22.025232,6.4379873,2.9719725,-0.46728432,-8.970999,-16.50017,-2.2849963,-7.4132786,-7.377325,-9.941823,0.5
125,19,16,41,05_23_03:01:09,0,-360.67545,94.07805,5.1037955,26.546389,1.4898609,4.511527,-6.1805983,-4.2219677,-13.497105,3.1649253,-3.9106288,-1.4474473,-9.623971,0.6
126,21,18,33.4,05_23_03:01:09,0,-371.48343,98.6894,-7.0415134,28.097004,-0.993357,8.640924,5.730239,-4.57049,-11.811712,5.2958536,7.8556967,2.973659,-3.878375,0.7
